TimeStamp,VehicleModel,SteeringAngle,AccelPedalRate,BrakePedalRate,Velocity,YawRate,RollRate,PitchRate,Latitude,Longitude,Height,Roll,Pitch,Yaw
4.7,IONIQ6,47,47,47,47,47,47,47,47,47,47,47,47,47
4.8,IONIQ6,48,48,48,48,48,48,48,48,48,48,48,48,48
4.9,IONIQ6,49,49,49,49,49,49,49,49,49,49,49,49,49
5,IONIQ6,50,50,50,50,50,50,50,50,50,50,50,50,50
5.1,IONIQ6,51,51,51,51,51,51,51,51,51,51,51,51,51
5.2,IONIQ6,52,52,52,52,52,52,52,52,52,52,52,52,52
5.3,IONIQ6,53,53,53,53,53,53,53,53,53,53,53,53,53
5.4,IONIQ6,54,54,54,54,54,54,54,54,54,54,54,54,54
5.5,IONIQ6,55,55,55,55,55,55,55,55,55,55,55,55,55
5.6,IONIQ6,56,56,56,56,56,56,56,56,56,56,56,56,56
5.7,IONIQ6,57,57,57,57,57,57,57,57,57,57,57,57,57
5.8,IONIQ6,58,58,58,58,58,58,58,58,58,58,58,58,58
5.9,IONIQ6,59,59,59,59,59,59,59,59,59,59,59,59,59
6,IONIQ6,60,60,60,60,60,60,60,60,60,60,60,60,60
6.1,IONIQ6,61,61,61,61,61,61,61,61,61,61,61,61,61
6.2,IONIQ6,62,62,62,62,62,62,62,62,62,62,62,62,62
6.3,IONIQ6,63,63,63,63,63,63,63,63,63,63,63,63,63
6.4,IONIQ6,64,64,64,64,64,64,64,64,64,64,64,64,64
6.5,IONIQ6,65,65,65,65,65,65,65,65,65,65,65,65,65
6.6,IONIQ6,66,66,66,66,66,66,66,66,66,66,66,66,66
6.7,IONIQ6,67,67,67,67,67,67,67,67,67,67,67,67,67
6.8,IONIQ6,68,68,68,68,68,68,68,68,68,68,68,68,68
6.9,IONIQ6,69,69,69,69,69,69,69,69,69,69,69,69,69
7,IONIQ6,70,70,70,70,70,70,70,70,70,70,70,70,70
7.1,IONIQ6,71,71,71,71,71,71,71,71,71,71,71,71,71
7.2,IONIQ6,72,72,72,72,72,72,72,72,72,72,72,72,72
7.3,IONIQ6,73,73,73,73,73,73,73,73,73,73,73,73,73
7.4,IONIQ6,74,74,74,74,74,74,74,74,74,74,74,74,74
7.5,IONIQ6,75,75,75,75,75,75,75,75,75,75,75,75,75
7.6,IONIQ6,76,76,76,76,76,76,76,76,76,76,76,76,76
7.7,IONIQ6,77,77,77,77,77,77,77,77,77,77,77,77,77
7.8,IONIQ6,78,78,78,78,78,78,78,78,78,78,78,78,78
7.9,IONIQ6,79,79,79,79,79,79,79,79,79,79,79,79,79
8,IONIQ6,80,80,80,80,80,80,80,80,80,80,80,80,80
8.1,IONIQ6,81,81,81,81,81,81,81,81,81,81,81,81,81
8.2,IONIQ6,82,82,82,82,82,82,82,82,82,82,82,82,82
8.3,IONIQ6,83,83,83,83,83,83,83,83,83,83,83,83,83
8.4,IONIQ6,84,84,84,84,84,84,84,84,84,84,84,84,84
8.5,IONIQ6,85,85,85,85,85,85,85,85,85,85,85,85,85
8.6,IONIQ6,86,86,86,86,86,86,86,86,86,86,86,86,86
8.7,IONIQ6,87,87,87,87,87,87,87,87,87,87,87,87,87
8.8,IONIQ6,88,88,88,88,88,88,88,88,88,88,88,88,88
8.9,IONIQ6,89,89,89,89,89,89,89,89,89,89,89,89,89
9,IONIQ6,90,90,90,90,90,90,90,90,90,90,90,90,90
9.1,IONIQ6,91,91,91,91,91,91,91,91,91,91,91,91,91
9.2,IONIQ6,92,92,92,92,92,92,92,92,92,92,92,92,92
9.3,IONIQ6,93,93,93,93,93,93,93,93,93,93,93,93,93
9.4,IONIQ6,94,94,94,94,94,94,94,94,94,94,94,94,94
9.5,IONIQ6,95,95,95,95,95,95,95,95,95,95,95,95,95
9.6,IONIQ6,96,96,96,96,96,96,96,96,96,96,96,96,96
9.7,IONIQ6,97,97,97,97,97,97,97,97,97,97,97,97,97
9.8,IONIQ6,98,98,98,98,98,98,98,98,98,98,98,98,98
9.9,IONIQ6,99,99,99,99,99,99,99,99,99,99,99,99,99
10,IONIQ6,100,100,100,100,100,100,100,100,100,100,100,100,100
10.1,IONIQ6,101,101,101,101,101,101,101,101,101,101,101,101,101
10.2,IONIQ6,102,102,102,102,102,102,102,102,102,102,102,102,102
10.3,IONIQ6,103,103,103,103,103,103,103,103,103,103,103,103,103
10.4,IONIQ6,104,104,104,104,104,104,104,104,104,104,104,104,104
10.5,IONIQ6,105,105,105,105,105,105,105,105,105,105,105,105,105
10.6,IONIQ6,106,106,106,106,106,106,106,106,106,106,106,106,106
10.7,IONIQ6,107,107,107,107,107,107,107,107,107,107,107,107,107
10.8,IONIQ6,108,108,108,108,108,108,108,108,108,108,108,108,108
10.9,IONIQ6,109,109,109,109,109,109,109,109,109,109,109,109,109
11,IONIQ6,110,110,110,110,110,110,110,110,110,110,110,110,110
11.1,IONIQ6,111,111,111,111,111,111,111,111,111,111,111,111,111
11.2,IONIQ6,112,112,112,112,112,112,112,112,112,112,112,112,112
11.3,IONIQ6,113,113,113,113,113,113,113,113,113,113,113,113,113
11.4,IONIQ6,114,114,114,114,114,114,114,114,114,114,114,114,114
11.5,IONIQ6,115,115,115,115,115,115,115,115,115,115,115,115,115
11.6,IONIQ6,116,116,116,116,116,116,116,116,116,116,116,116,116
11.7,IONIQ6,117,117,117,117,117,117,117,117,117,117,117,117,117
11.8,IONIQ6,118,118,118,118,118,118,118,118,118,118,118,118,118
11.9,IONIQ6,119,119,119,119,119,119,119,119,119,119,119,119,119
12,IONIQ6,120,120,120,120,120,120,120,120,120,120,120,120,120
12.1,IONIQ6,121,121,121,121,121,121,121,121,121,121,121,121,121
12.2,IONIQ6,122,122,122,122,122,122,122,122,122,122,122,122,122
12.3,IONIQ6,123,123,123,123,123,123,123,123,123,123,123,123,123
12.4,IONIQ6,124,124,124,124,124,124,124,124,124,124,124,124,124
12.5,IONIQ6,125,125,125,125,125,125,125,125,125,125,125,125,125
12.6,IONIQ6,126,126,126,126,126,126,126,126,126,126,126,126,126
12.7,IONIQ6,127,127,127,127,127,127,127,127,127,127,127,127,127
12.8,IONIQ6,128,128,128,128,128,128,128,128,128,128,128,128,128
12.9,IONIQ6,129,129,129,129,129,129,129,129,129,129,129,129,129
13,IONIQ6,130,130,130,130,130,130,130,130,130,130,130,130,130
13.1,IONIQ6,131,131,131,131,131,131,131,131,131,131,131,131,131
13.2,IONIQ6,132,132,132,132,132,132,132,132,132,132,132,132,132
13.3,IONIQ6,133,133,133,133,133,133,133,133,133,133,133,133,133
13.4,IONIQ6,134,134,134,134,134,134,134,134,134,134,134,134,134
13.5,IONIQ6,135,135,135,135,135,135,135,135,135,135,135,135,135
13.6,IONIQ6,136,136,136,136,136,136,136,136,136,136,136,136,136
13.7,IONIQ6,137,137,137,137,137,137,137,137,137,137,137,137,137
13.8,IONIQ6,138,138,138,138,138,138,138,138,138,138,138,138,138
13.9,IONIQ6,139,139,139,139,139,139,139,139,139,139,139,139,139
14,IONIQ6,140,140,140,140,140,140,140,140,140,140,140,140,140
14.1,IONIQ6,141,141,141,141,141,141,141,141,141,141,141,141,141
14.2,IONIQ6,142,142,142,142,142,142,142,142,142,142,142,142,142
14.3,IONIQ6,143,143,143,143,143,143,143,143,143,143,143,143,143
14.4,IONIQ6,144,144,144,144,144,144,144,144,144,144,144,144,144
14.5,IONIQ6,145,145,145,145,145,145,145,145,145,145,145,145,145
14.6,IONIQ6,146,146,146,146,146,146,146,146,146,146,146,146,146
14.7,IONIQ6,147,147,147,147,147,147,147,147,147,147,147,147,147
14.8,IONIQ6,148,148,148,148,148,148,148,148,148,148,148,148,148
14.9,IONIQ6,149,149,149,149,149,149,149,149,149,149,149,149,149
15,IONIQ6,150,150,150,150,150,150,150,150,150,150,150,150,150
15.1,IONIQ6,151,151,151,151,151,151,151,151,151,151,151,151,151
15.2,IONIQ6,152,152,152,152,152,152,152,152,152,152,152,152,152
15.3,IONIQ6,153,153,153,153,153,153,153,153,153,153,153,153,153
15.4,IONIQ6,154,154,154,154,154,154,154,154,154,154,154,154,154
15.5,IONIQ6,155,155,155,155,155,155,155,155,155,155,155,155,155
15.6,IONIQ6,156,156,156,156,156,156,156,156,156,156,156,156,156
15.7,IONIQ6,157,157,157,157,157,157,157,157,157,157,157,157,157
15.8,IONIQ6,158,158,158,158,158,158,158,158,158,158,158,158,158
15.9,IONIQ6,159,159,159,159,159,159,159,159,159,159,159,159,159
16,IONIQ6,160,160,160,160,160,160,160,160,160,160,160,160,160
16.1,IONIQ6,161,161,161,161,161,161,161,161,161,161,161,161,161
16.2,IONIQ6,162,162,162,162,162,162,162,162,162,162,162,162,162
16.3,IONIQ6,163,163,163,163,163,163,163,163,163,163,163,163,163
16.4,IONIQ6,164,164,164,164,164,164,164,164,164,164,164,164,164
16.5,IONIQ6,165,165,165,165,165,165,165,165,165,165,165,165,165
16.6,IONIQ6,166,166,166,166,166,166,166,166,166,166,166,166,166
16.7,IONIQ6,167,167,167,167,167,167,167,167,167,167,167,167,167
16.8,IONIQ6,168,168,168,168,168,168,168,168,168,168,168,168,168
16.9,IONIQ6,169,169,169,169,169,169,169,169,169,169,169,169,169
17,IONIQ6,170,170,170,170,170,170,170,170,170,170,170,170,170
17.1,IONIQ6,171,171,171,171,171,171,171,171,171,171,171,171,171
17.2,IONIQ6,172,172,172,172,172,172,172,172,172,172,172,172,172
17.3,IONIQ6,173,173,173,173,173,173,173,173,173,173,173,173,173
17.4,IONIQ6,174,174,174,174,174,174,174,174,174,174,174,174,174
17.5,IONIQ6,175,175,175,175,175,175,175,175,175,175,175,175,175
17.6,IONIQ6,176,176,176,176,176,176,176,176,176,176,176,176,176
17.7,IONIQ6,177,177,177,177,177,177,177,177,177,177,177,177,177
17.8,IONIQ6,178,178,178,178,178,178,178,178,178,178,178,178,178
17.9,IONIQ6,179,179,179,179,179,179,179,179,179,179,179,179,179
18,IONIQ6,180,180,180,180,180,180,180,180,180,180,180,180,180
18.1,IONIQ6,181,181,181,181,181,181,181,181,181,181,181,181,181
18.2,IONIQ6,182,182,182,182,182,182,182,182,182,182,182,182,182
18.3,IONIQ6,183,183,183,183,183,183,183,183,183,183,183,183,183
18.4,IONIQ6,184,184,184,184,184,184,184,184,184,184,184,184,184
18.5,IONIQ6,185,185,185,185,185,185,185,185,185,185,185,185,185
18.6,IONIQ6,186,186,186,186,186,186,186,186,186,186,186,186,186
18.7,IONIQ6,187,187,187,187,187,187,187,187,187,187,187,187,187
18.8,IONIQ6,188,188,188,188,188,188,188,188,188,188,188,188,188
18.9,IONIQ6,189,189,189,189,189,189,189,189,189,189,189,189,189
19,IONIQ6,190,190,190,190,190,190,190,190,190,190,190,190,190
19.1,IONIQ6,191,191,191,191,191,191,191,191,191,191,191,191,191
19.2,IONIQ6,192,192,192,192,192,192,192,192,192,192,192,192,192
19.3,IONIQ6,193,193,193,193,193,193,193,193,193,193,193,193,193
19.4,IONIQ6,194,194,194,194,194,194,194,194,194,194,194,194,194
19.5,IONIQ6,195,195,195,195,195,195,195,195,195,195,195,195,195
19.6,IONIQ6,196,196,196,196,196,196,196,196,196,196,196,196,196
19.7,IONIQ6,197,197,197,197,197,197,197,197,197,197,197,197,197
19.8,IONIQ6,198,198,198,198,198,198,198,198,198,198,198,198,198
19.9,IONIQ6,199,199,199,199,199,199,199,199,199,199,199,199,199
20,IONIQ6,200,200,200,200,200,200,200,200,200,200,200,200,200
20.1,IONIQ6,201,201,201,201,201,201,201,201,201,201,201,201,201
20.2,IONIQ6,202,202,202,202,202,202,202,202,202,202,202,202,202
20.3,IONIQ6,203,203,203,203,203,203,203,203,203,203,203,203,203
20.4,IONIQ6,204,204,204,204,204,204,204,204,204,204,204,204,204
20.5,IONIQ6,205,205,205,205,205,205,205,205,205,205,205,205,205
20.6,IONIQ6,206,206,206,206,206,206,206,206,206,206,206,206,206
20.7,IONIQ6,207,207,207,207,207,207,207,207,207,207,207,207,207
20.8,IONIQ6,208,208,208,208,208,208,208,208,208,208,208,208,208
20.9,IONIQ6,209,209,209,209,209,209,209,209,209,209,209,209,209
21,IONIQ6,210,210,210,210,210,210,210,210,210,210,210,210,210
21.1,IONIQ6,211,211,211,211,211,211,211,211,211,211,211,211,211
21.2,IONIQ6,212,212,212,212,212,212,212,212,212,212,212,212,212
21.3,IONIQ6,213,213,213,213,213,213,213,213,213,213,213,213,213
21.4,IONIQ6,214,214,214,214,214,214,214,214,214,214,214,214,214
21.5,IONIQ6,215,215,215,215,215,215,215,215,215,215,215,215,215
21.6,IONIQ6,216,216,216,216,216,216,216,216,216,216,216,216,216
21.7,IONIQ6,217,217,217,217,217,217,217,217,217,217,217,217,217
21.8,IONIQ6,218,218,218,218,218,218,218,218,218,218,218,218,218
21.9,IONIQ6,219,219,219,219,219,219,219,219,219,219,219,219,219
22,IONIQ6,220,220,220,220,220,220,220,220,220,220,220,220,220
22.1,IONIQ6,221,221,221,221,221,221,221,221,221,221,221,221,221
22.2,IONIQ6,222,222,222,222,222,222,222,222,222,222,222,222,222
22.3,IONIQ6,223,223,223,223,223,223,223,223,223,223,223,223,223
22.4,IONIQ6,224,224,224,224,224,224,224,224,224,224,224,224,224
22.5,IONIQ6,225,225,225,225,225,225,225,225,225,225,225,225,225
22.6,IONIQ6,226,226,226,226,226,226,226,226,226,226,226,226,226
22.7,IONIQ6,227,227,227,227,227,227,227,227,227,227,227,227,227
22.8,IONIQ6,228,228,228,228,228,228,228,228,228,228,228,228,228
22.9,IONIQ6,229,229,229,229,229,229,229,229,229,229,229,229,229
23,IONIQ6,230,230,230,230,230,230,230,230,230,230,230,230,230
23.1,IONIQ6,231,231,231,231,231,231,231,231,231,231,231,231,231
23.2,IONIQ6,232,232,232,232,232,232,232,232,232,232,232,232,232
23.3,IONIQ6,233,233,233,233,233,233,233,233,233,233,233,233,233
23.4,IONIQ6,234,234,234,234,234,234,234,234,234,234,234,234,234
23.5,IONIQ6,235,235,235,235,235,235,235,235,235,235,235,235,235
23.6,IONIQ6,236,236,236,236,236,236,236,236,236,236,236,236,236
23.7,IONIQ6,237,237,237,237,237,237,237,237,237,237,237,237,237
23.8,IONIQ6,238,238,238,238,238,238,238,238,238,238,238,238,238
23.9,IONIQ6,239,239,239,239,239,239,239,239,239,239,239,239,239
24,IONIQ6,240,240,240,240,240,240,240,240,240,240,240,240,240
24.1,IONIQ6,241,241,241,241,241,241,241,241,241,241,241,241,241
24.2,IONIQ6,242,242,242,242,242,242,242,242,242,242,242,242,242
24.3,IONIQ6,243,243,243,243,243,243,243,243,243,243,243,243,243
24.4,IONIQ6,244,244,244,244,244,244,244,244,244,244,244,244,244
24.5,IONIQ6,245,245,245,245,245,245,245,245,245,245,245,245,245
24.6,IONIQ6,246,246,246,246,246,246,246,246,246,246,246,246,246
24.7,IONIQ6,247,247,247,247,247,247,247,247,247,247,247,247,247
24.8,IONIQ6,248,248,248,248,248,248,248,248,248,248,248,248,248
24.9,IONIQ6,249,249,249,249,249,249,249,249,249,249,249,249,249
25,IONIQ6,250,250,250,250,250,250,250,250,250,250,250,250,250
25.1,IONIQ6,251,251,251,251,251,251,251,251,251,251,251,251,251
25.2,IONIQ6,252,252,252,252,252,252,252,252,252,252,252,252,252
25.3,IONIQ6,253,253,253,253,253,253,253,253,253,253,253,253,253
25.4,IONIQ6,254,254,254,254,254,254,254,254,254,254,254,254,254
25.5,IONIQ6,255,255,255,255,255,255,255,255,255,255,255,255,255
25.6,IONIQ6,256,256,256,256,256,256,256,256,256,256,256,256,256
25.7,IONIQ6,257,257,257,257,257,257,257,257,257,257,257,257,257
25.8,IONIQ6,258,258,258,258,258,258,258,258,258,258,258,258,258
25.9,IONIQ6,259,259,259,259,259,259,259,259,259,259,259,259,259
26,IONIQ6,260,260,260,260,260,260,260,260,260,260,260,260,260
26.1,IONIQ6,261,261,261,261,261,261,261,261,261,261,261,261,261
26.2,IONIQ6,262,262,262,262,262,262,262,262,262,262,262,262,262
26.3,IONIQ6,263,263,263,263,263,263,263,263,263,263,263,263,263
26.4,IONIQ6,264,264,264,264,264,264,264,264,264,264,264,264,264
26.5,IONIQ6,265,265,265,265,265,265,265,265,265,265,265,265,265
26.6,IONIQ6,266,266,266,266,266,266,266,266,266,266,266,266,266
26.7,IONIQ6,267,267,267,267,267,267,267,267,267,267,267,267,267
26.8,IONIQ6,268,268,268,268,268,268,268,268,268,268,268,268,268
26.9,IONIQ6,269,269,269,269,269,269,269,269,269,269,269,269,269
27,IONIQ6,270,270,270,270,270,270,270,270,270,270,270,270,270
27.1,IONIQ6,271,271,271,271,271,271,271,271,271,271,271,271,271
27.2,IONIQ6,272,272,272,272,272,272,272,272,272,272,272,272,272
27.3,IONIQ6,273,273,273,273,273,273,273,273,273,273,273,273,273
27.4,IONIQ6,274,274,274,274,274,274,274,274,274,274,274,274,274
27.5,IONIQ6,275,275,275,275,275,275,275,275,275,275,275,275,275
27.6,IONIQ6,276,276,276,276,276,276,276,276,276,276,276,276,276
27.7,IONIQ6,277,277,277,277,277,277,277,277,277,277,277,277,277
27.8,IONIQ6,278,278,278,278,278,278,278,278,278,278,278,278,278
27.9,IONIQ6,279,279,279,279,279,279,279,279,279,279,279,279,279
28,IONIQ6,280,280,280,280,280,280,280,280,280,280,280,280,280
28.1,IONIQ6,281,281,281,281,281,281,281,281,281,281,281,281,281
28.2,IONIQ6,282,282,282,282,282,282,282,282,282,282,282,282,282
28.3,IONIQ6,283,283,283,283,283,283,283,283,283,283,283,283,283
28.4,IONIQ6,284,284,284,284,284,284,284,284,284,284,284,284,284
28.5,IONIQ6,285,285,285,285,285,285,285,285,285,285,285,285,285
28.6,IONIQ6,286,286,286,286,286,286,286,286,286,286,286,286,286
28.7,IONIQ6,287,287,287,287,287,287,287,287,287,287,287,287,287
28.8,IONIQ6,288,288,288,288,288,288,288,288,288,288,288,288,288
28.9,IONIQ6,289,289,289,289,289,289,289,289,289,289,289,289,289
29,IONIQ6,290,290,290,290,290,290,290,290,290,290,290,290,290
29.1,IONIQ6,291,291,291,291,291,291,291,291,291,291,291,291,291
29.2,IONIQ6,292,292,292,292,292,292,292,292,292,292,292,292,292
29.3,IONIQ6,293,293,293,293,293,293,293,293,293,293,293,293,293
29.4,IONIQ6,294,294,294,294,294,294,294,294,294,294,294,294,294
29.5,IONIQ6,295,295,295,295,295,295,295,295,295,295,295,295,295
29.6,IONIQ6,296,296,296,296,296,296,296,296,296,296,296,296,296
29.7,IONIQ6,297,297,297,297,297,297,297,297,297,297,297,297,297
29.8,IONIQ6,298,298,298,298,298,298,298,298,298,298,298,298,298
29.9,IONIQ6,299,299,299,299,299,299,299,299,299,299,299,299,299
30,IONIQ6,300,300,300,300,300,300,300,300,300,300,300,300,300
30.1,IONIQ6,301,301,301,301,301,301,301,301,301,301,301,301,301
30.2,IONIQ6,302,302,302,302,302,302,302,302,302,302,302,302,302
30.3,IONIQ6,303,303,303,303,303,303,303,303,303,303,303,303,303
30.4,IONIQ6,304,304,304,304,304,304,304,304,304,304,304,304,304
30.5,IONIQ6,305,305,305,305,305,305,305,305,305,305,305,305,305
30.6,IONIQ6,306,306,306,306,306,306,306,306,306,306,306,306,306
30.7,IONIQ6,307,307,307,307,307,307,307,307,307,307,307,307,307
30.8,IONIQ6,308,308,308,308,308,308,308,308,308,308,308,308,308
30.9,IONIQ6,309,309,309,309,309,309,309,309,309,309,309,309,309
31,IONIQ6,310,310,310,310,310,310,310,310,310,310,310,310,310
31.1,IONIQ6,311,311,311,311,311,311,311,311,311,311,311,311,311
31.2,IONIQ6,312,312,312,312,312,312,312,312,312,312,312,312,312
31.3,IONIQ6,313,313,313,313,313,313,313,313,313,313,313,313,313
31.4,IONIQ6,314,314,314,314,314,314,314,314,314,314,314,314,314
31.5,IONIQ6,315,315,315,315,315,315,315,315,315,315,315,315,315
31.6,IONIQ6,316,316,316,316,316,316,316,316,316,316,316,316,316
31.7,IONIQ6,317,317,317,317,317,317,317,317,317,317,317,317,317
31.8,IONIQ6,318,318,318,318,318,318,318,318,318,318,318,318,318
31.9,IONIQ6,319,319,319,319,319,319,319,319,319,319,319,319,319
32,IONIQ6,320,320,320,320,320,320,320,320,320,320,320,320,320
32.1,IONIQ6,321,321,321,321,321,321,321,321,321,321,321,321,321
32.2,IONIQ6,322,322,322,322,322,322,322,322,322,322,322,322,322
32.3,IONIQ6,323,323,323,323,323,323,323,323,323,323,323,323,323
32.4,IONIQ6,324,324,324,324,324,324,324,324,324,324,324,324,324
32.5,IONIQ6,325,325,325,325,325,325,325,325,325,325,325,325,325
32.6,IONIQ6,326,326,326,326,326,326,326,326,326,326,326,326,326
32.7,IONIQ6,327,327,327,327,327,327,327,327,327,327,327,327,327
32.8,IONIQ6,328,328,328,328,328,328,328,328,328,328,328,328,328
32.9,IONIQ6,329,329,329,329,329,329,329,329,329,329,329,329,329
33,IONIQ6,330,330,330,330,330,330,330,330,330,330,330,330,330
33.1,IONIQ6,331,331,331,331,331,331,331,331,331,331,331,331,331
33.2,IONIQ6,332,332,332,332,332,332,332,332,332,332,332,332,332
33.3,IONIQ6,333,333,333,333,333,333,333,333,333,333,333,333,333
33.4,IONIQ6,334,334,334,334,334,334,334,334,334,334,334,334,334
33.5,IONIQ6,335,335,335,335,335,335,335,335,335,335,335,335,335
33.6,IONIQ6,336,336,336,336,336,336,336,336,336,336,336,336,336
33.7,IONIQ6,337,337,337,337,337,337,337,337,337,337,337,337,337
33.8,IONIQ6,338,338,338,338,338,338,338,338,338,338,338,338,338
33.9,IONIQ6,339,339,339,339,339,339,339,339,339,339,339,339,339
34,IONIQ6,340,340,340,340,340,340,340,340,340,340,340,340,340
34.1,IONIQ6,341,341,341,341,341,341,341,341,341,341,341,341,341
34.2,IONIQ6,342,342,342,342,342,342,342,342,342,342,342,342,342
34.3,IONIQ6,343,343,343,343,343,343,343,343,343,343,343,343,343
34.4,IONIQ6,344,344,344,344,344,344,344,344,344,344,344,344,344
34.5,IONIQ6,345,345,345,345,345,345,345,345,345,345,345,345,345
34.6,IONIQ6,346,346,346,346,346,346,346,346,346,346,346,346,346
34.7,IONIQ6,347,347,347,347,347,347,347,347,347,347,347,347,347
34.8,IONIQ6,348,348,348,348,348,348,348,348,348,348,348,348,348
34.9,IONIQ6,349,349,349,349,349,349,349,349,349,349,349,349,349
35,IONIQ6,350,350,350,350,350,350,350,350,350,350,350,350,350
35.1,IONIQ6,351,351,351,351,351,351,351,351,351,351,351,351,351
35.2,IONIQ6,352,352,352,352,352,352,352,352,352,352,352,352,352
35.3,IONIQ6,353,353,353,353,353,353,353,353,353,353,353,353,353
35.4,IONIQ6,354,354,354,354,354,354,354,354,354,354,354,354,354
35.5,IONIQ6,355,355,355,355,355,355,355,355,355,355,355,355,355
35.6,IONIQ6,356,356,356,356,356,356,356,356,356,356,356,356,356
35.7,IONIQ6,357,357,357,357,357,357,357,357,357,357,357,357,357
35.8,IONIQ6,358,358,358,358,358,358,358,358,358,358,358,358,358
35.9,IONIQ6,359,359,359,359,359,359,359,359,359,359,359,359,359
36,IONIQ6,360,360,360,360,360,360,360,360,360,360,360,360,360
36.1,IONIQ6,361,361,361,361,361,361,361,361,361,361,361,361,361
36.2,IONIQ6,362,362,362,362,362,362,362,362,362,362,362,362,362
36.3,IONIQ6,363,363,363,363,363,363,363,363,363,363,363,363,363
36.4,IONIQ6,364,364,364,364,364,364,364,364,364,364,364,364,364
36.5,IONIQ6,365,365,365,365,365,365,365,365,365,365,365,365,365
36.6,IONIQ6,366,366,366,366,366,366,366,366,366,366,366,366,366
36.7,IONIQ6,367,367,367,367,367,367,367,367,367,367,367,367,367
36.8,IONIQ6,368,368,368,368,368,368,368,368,368,368,368,368,368
36.9,IONIQ6,369,369,369,369,369,369,369,369,369,369,369,369,369
37,IONIQ6,370,370,370,370,370,370,370,370,370,370,370,370,370
37.1,IONIQ6,371,371,371,371,371,371,371,371,371,371,371,371,371
37.2,IONIQ6,372,372,372,372,372,372,372,372,372,372,372,372,372
37.3,IONIQ6,373,373,373,373,373,373,373,373,373,373,373,373,373
37.4,IONIQ6,374,374,374,374,374,374,374,374,374,374,374,374,374
